,pk,id,taken_at,media_type,width,height,url,lat,lng
0,1484075407148950959,1484075407148950959_4618160416,1491135596,1,779,779,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29737412_420099638437632_4674737860614553600_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=b7gnraFZ_qcAX-4LAs2&ccb=7-4&oh=cb65894f9e94ed7370f9c17685c996cf&oe=607FF73C&ig_cache_key=MTQ4NDA3NTQwNzE0ODk1MDk1OQ%3D%3D.2-ccb7-4,22.5697,88.3697
1,1484017398750254702,1484017398750254702_4618160416,1491128681,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29417974_393904911094825_1097074457173819392_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=9cVP2pSisbgAX9UqF3M&ccb=7-4&oh=bb6c70fd13bf3d430dc3080888d978e6&oe=6081EF3E&ig_cache_key=MTQ4NDAxNzM5ODc1MDI1NDcwMg%3D%3D.2-ccb7-4,22.5697,88.3697
2,1483148636782304028,1483148636782304028_4618160416,1491025117,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29416426_365252017305428_9191303083718606848_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=CsB-q-45cEUAX-fFakY&ccb=7-4&oh=b74609edff86f2d1bc3e54266a67e86e&oe=6082C5A3&ig_cache_key=MTQ4MzE0ODYzNjc4MjMwNDAyOA%3D%3D.2-ccb7-4,22.5697,88.3697
3,1479517743362379166,1479517743362379166_4618160416,1490592280,1,876,876,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29416330_1667967836631351_1300764810194976768_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=lKS9BwKQlW4AX846-j5&ccb=7-4&oh=ad80b0aec1eed96d06f600031ec9dfdf&oe=607F20B2&ig_cache_key=MTQ3OTUxNzc0MzM2MjM3OTE2Ng%3D%3D.2-ccb7-4,22.5697,88.3697
4,1478455688404464745,1478455688404464745_4618160416,1490465673,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29717580_168915313682870_2728391460981309440_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=rTeOuVoD704AX-zfE_m&ccb=7-4&oh=8674ed03d6bce4f3371db6c0a7f8b463&oe=60804D7B&ig_cache_key=MTQ3ODQ1NTY4ODQwNDQ2NDc0NQ%3D%3D.2-ccb7-4,22.5697,88.3697
5,1476942378882416461,1476942378882416461_4618160416,1490285273,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29416331_1846226289005282_4186480476552167424_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=OBBK5-YlytYAX_4GdGf&ccb=7-4&oh=744fde00961eb81abd0cc7b7729bcbcc&oe=60816E17&ig_cache_key=MTQ3Njk0MjM3ODg4MjQxNjQ2MQ%3D%3D.2-ccb7-4,22.5697,88.3697
6,1475928499129935826,1475928499129935826_4618160416,1490164409,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29715660_732572963799242_4234518298483490816_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=K508649R4p0AX81iL-v&ccb=7-4&oh=8d948d5384390bd30ae31f705ecbcfd7&oe=607FABEF&ig_cache_key=MTQ3NTkyODQ5OTEyOTkzNTgyNg%3D%3D.2-ccb7-4,22.5697,88.3697
7,1475555905138418841,1475555905138418841_4618160416,1490119992,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29414597_2065996346991121_1869594088513208320_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=lsb5R-uBzQ8AX_e9tmf&ccb=7-4&oh=1fa83fc6cfa9807c3a8cb7fdd5d3f4f4&oe=60825633&ig_cache_key=MTQ3NTU1NTkwNTEzODQxODg0MQ%3D%3D.2-ccb7-4,22.5697,88.3697
8,1474853037339111369,1474853037339111369_4618160416,1490036204,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29402372_593212217677904_1165448094553210880_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=AmuScy6_29cAX8Fo_85&ccb=7-4&oh=391636bcf7de01ef0d1085ab18b1c25b&oe=607FA548&ig_cache_key=MTQ3NDg1MzAzNzMzOTExMTM2OQ%3D%3D.2-ccb7-4,22.5697,88.3697
9,1474671954496612542,1474671954496612542_4618160416,1490014617,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29404203_343268816079810_7438440158996725760_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=p7Rq14azfEAAX8hw_2-&ccb=7-4&oh=d706d20c6db283c820fb91b852e67b20&oe=60818C91&ig_cache_key=MTQ3NDY3MTk1NDQ5NjYxMjU0Mg%3D%3D.2-ccb7-4,22.5697,88.3697
